,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,23.0,23,2.0,2,20~29,4.76,201.85,151.0
0,23.0,23,2.0,2,30~39,4.21,287.5,119.0
0,23.0,23,2.0,2,40~49,3.18,265.05,89.0
0,23.0,23,2.0,2,50~59,-7.84,311.89,21.0
0,,23,,2,60~69,,,0.0
0,,23,,2,70~79,,,0.0
0,,23,,2,80~89,,,0.0
0,,23,,2,90~99,,,0.0
0,24.0,24,1.0,1,20~29,10.15,191.71,155.0
0,24.0,24,1.0,1,30~39,6.35,304.5,425.0
0,24.0,24,1.0,1,40~49,4.94,288.8,333.0
0,24.0,24,1.0,1,50~59,2.25,296.5,228.0
0,24.0,24,1.0,1,60~69,-0.17,214.9,77.0
0,24.0,24,1.0,1,70~79,0.63,179.5,13.0
0,24.0,24,1.0,1,80~89,0.51,160.0,2.0
0,,24,,1,90~99,,,0.0
0,24.0,24,2.0,2,20~29,8.2,177.3,1087.0
0,24.0,24,2.0,2,30~39,5.18,199.2,1279.0
0,24.0,24,2.0,2,40~49,6.25,199.55,1240.0
0,24.0,24,2.0,2,50~59,4.19,218.1,445.0
0,24.0,24,2.0,2,60~69,0.99,221.5,79.0
0,24.0,24,2.0,2,70~79,2.41,213.6,6.0
0,24.0,24,2.0,2,80~89,0.0,30.0,1.0
0,,24,,2,90~99,,,0.0
0,25.0,25,1.0,1,20~29,-2.22,199.64,80.0
0,25.0,25,1.0,1,30~39,4.74,279.95,408.0
0,25.0,25,1.0,1,40~49,3.54,404.1,454.0
0,25.0,25,1.0,1,50~59,3.21,458.5,381.0
0,25.0,25,1.0,1,60~69,1.46,369.5,100.0
0,,25,,1,70~79,,,0.0
0,,25,,1,80~89,,,0.0
0,,25,,1,90~99,,,0.0
0,25.0,25,2.0,2,20~29,10.05,173.5,404.0
0,25.0,25,2.0,2,30~39,3.51,256.4,873.0
0,25.0,25,2.0,2,40~49,4.67,319.55,762.0
0,25.0,25,2.0,2,50~59,4.16,413.15,300.0
0,25.0,25,2.0,2,60~69,22.87,432.3,46.0
0,25.0,25,2.0,2,70~79,,250.0,1.0
0,,25,,2,80~89,,,0.0
0,,25,,2,90~99,,,0.0
0,26.0,26,1.0,1,20~29,,850.0,1.0
0,26.0,26,1.0,1,30~39,-1.44,455.71,27.0
0,26.0,26,1.0,1,40~49,5.27,441.0,91.0
0,26.0,26,1.0,1,50~59,4.96,504.9,107.0
0,26.0,26,1.0,1,60~69,2.22,510.0,10.0
0,,26,,1,70~79,,,0.0
0,,26,,1,80~89,,,0.0
0,,26,,1,90~99,,,0.0
0,26.0,26,2.0,2,20~29,0.0,500.0,2.0
0,26.0,26,2.0,2,30~39,4.7,440.94,27.0
0,26.0,26,2.0,2,40~49,3.73,450.0,33.0
0,26.0,26,2.0,2,50~59,4.25,476.11,15.0
0,26.0,26,2.0,2,60~69,0.0,350.0,1.0
0,,26,,2,70~79,,,0.0
0,,26,,2,80~89,,,0.0
0,,26,,2,90~99,,,0.0
0,27.0,27,1.0,1,20~29,7.12,198.75,104.0
0,27.0,27,1.0,1,30~39,7.85,320.8,592.0
0,27.0,27,1.0,1,40~49,3.75,401.0,715.0
0,27.0,27,1.0,1,50~59,1.14,368.5,415.0
0,27.0,27,1.0,1,60~69,-2.84,214.5,142.0
0,27.0,27,1.0,1,70~79,7.93,123.85,31.0
0,27.0,27,1.0,1,80~89,21.29,134.17,7.0
0,27.0,27,1.0,1,90~99,3.25,75.0,2.0
0,27.0,27,2.0,2,20~29,10.04,194.81,52.0
0,27.0,27,2.0,2,30~39,4.77,249.1,131.0
0,27.0,27,2.0,2,40~49,5.39,267.5,163.0
0,27.0,27,2.0,2,50~59,5.41,248.0,110.0
0,27.0,27,2.0,2,60~69,3.35,196.5,32.0
0,27.0,27,2.0,2,70~79,23.55,100.0,14.0
0,,27,,2,80~89,,,0.0
0,,27,,2,90~99,,,0.0
0,28.0,28,1.0,1,20~29,7.89,171.05,153.0
0,28.0,28,1.0,1,30~39,7.18,254.5,427.0
0,28.0,28,1.0,1,40~49,2.11,328.6,265.0
0,28.0,28,1.0,1,50~59,-0.5,305.0,74.0
0,28.0,28,1.0,1,60~69,10.14,204.57,16.0
0,,28,,1,70~79,,,0.0
0,,28,,1,80~89,,,0.0
0,,28,,1,90~99,,,0.0
0,28.0,28,2.0,2,20~29,9.17,170.65,297.0
0,28.0,28,2.0,2,30~39,4.88,232.75,296.0
0,28.0,28,2.0,2,40~49,4.61,222.5,131.0
