,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,11,,1,20~24,,,0.0
0,,11,,1,25~29,,,0.0
0,,11,,1,30~34,,,0.0
0,,11,,1,35~39,,,0.0
0,11.0,11,1.0,1,40~44,,315.0,1.0
0,,11,,1,45~49,,,0.0
0,,11,,1,50~54,,,0.0
0,11.0,11,1.0,1,55~59,4.81,542.0,11.0
0,11.0,11,1.0,1,60~64,,350.0,1.0
0,,11,,1,65~69,,,0.0
0,,11,,1,70~74,,,0.0
0,,11,,1,75~79,,,0.0
0,,11,,1,80~84,,,0.0
0,,11,,1,85~89,,,0.0
0,,11,,1,90~94,,,0.0
0,,11,,1,95~99,,,0.0
0,,12,,1,20~24,,,0.0
0,,12,,1,25~29,,,0.0
0,12.0,12,1.0,1,30~34,34.62,305.0,2.0
0,12.0,12,1.0,1,35~39,-26.83,355.0,2.0
0,12.0,12,1.0,1,40~44,0.5,379.0,6.0
0,12.0,12,1.0,1,45~49,2.3,591.0,11.0
0,12.0,12,1.0,1,50~54,7.13,655.0,20.0
0,12.0,12,1.0,1,55~59,3.72,547.0,24.0
0,12.0,12,1.0,1,60~64,-0.57,350.0,18.0
0,12.0,12,1.0,1,65~69,-9.64,255.0,2.0
0,12.0,12,1.0,1,70~74,,100.0,1.0
0,,12,,1,75~79,,,0.0
0,,12,,1,80~84,,,0.0
0,,12,,1,85~89,,,0.0
0,,12,,1,90~94,,,0.0
0,,12,,1,95~99,,,0.0
0,,12,,2,20~24,,,0.0
0,,12,,2,25~29,,,0.0
0,,12,,2,30~34,,,0.0
0,,12,,2,35~39,,,0.0
0,,12,,2,40~44,,,0.0
0,12.0,12,2.0,2,45~49,0.0,200.0,2.0
0,,12,,2,50~54,,,0.0
0,,12,,2,55~59,,,0.0
0,,12,,2,60~64,,,0.0
0,,12,,2,65~69,,,0.0
0,,12,,2,70~74,,,0.0
0,,12,,2,75~79,,,0.0
0,,12,,2,80~84,,,0.0
0,,12,,2,85~89,,,0.0
0,,12,,2,90~94,,,0.0
0,,12,,2,95~99,,,0.0
0,,13,,1,20~24,,,0.0
0,13.0,13,1.0,1,25~29,,450.0,1.0
0,13.0,13,1.0,1,30~34,7.12,500.0,5.0
0,13.0,13,1.0,1,35~39,-1.64,421.0,16.0
0,13.0,13,1.0,1,40~44,0.44,473.0,24.0
0,13.0,13,1.0,1,45~49,-1.81,496.0,58.0
0,13.0,13,1.0,1,50~54,0.64,600.9,68.0
0,13.0,13,1.0,1,55~59,3.67,485.0,95.0
0,13.0,13,1.0,1,60~64,0.95,375.0,70.0
0,13.0,13,1.0,1,65~69,6.78,376.0,27.0
0,13.0,13,1.0,1,70~74,2.17,256.25,16.0
0,,13,,1,75~79,,,0.0
0,,13,,1,80~84,,,0.0
0,,13,,1,85~89,,,0.0
0,,13,,1,90~94,,,0.0
0,,13,,1,95~99,,,0.0
0,,13,,2,20~24,,,0.0
0,,13,,2,25~29,,,0.0
0,13.0,13,2.0,2,30~34,-33.33,250.0,2.0
0,13.0,13,2.0,2,35~39,1.94,569.25,5.0
0,13.0,13,2.0,2,40~44,2.25,253.0,23.0
0,13.0,13,2.0,2,45~49,4.25,275.0,25.0
0,13.0,13,2.0,2,50~54,2.67,336.0,26.0
0,13.0,13,2.0,2,55~59,5.77,402.8,34.0
0,13.0,13,2.0,2,60~64,3.08,340.0,25.0
0,13.0,13,2.0,2,65~69,8.76,337.5,4.0
0,,13,,2,70~74,,,0.0
0,,13,,2,75~79,,,0.0
0,,13,,2,80~84,,,0.0
0,,13,,2,85~89,,,0.0
0,,13,,2,90~94,,,0.0
0,,13,,2,95~99,,,0.0
0,,14,,1,20~24,,,0.0
0,14.0,14,1.0,1,25~29,0.5,230.7,7.0
0,14.0,14,1.0,1,30~34,5.9,312.5,11.0
0,14.0,14,1.0,1,35~39,6.14,368.3,28.0
0,14.0,14,1.0,1,40~44,10.65,483.0,62.0
0,14.0,14,1.0,1,45~49,4.81,491.7,121.0
0,14.0,14,1.0,1,50~54,8.5,488.0,92.0
0,14.0,14,1.0,1,55~59,0.89,446.0,92.0
0,14.0,14,1.0,1,60~64,2.07,460.0,77.0
0,14.0,14,1.0,1,65~69,1.54,323.0,31.0
0,14.0,14,1.0,1,70~74,-5.7,315.4,9.0
0,,14,,1,75~79,,,0.0
0,,14,,1,80~84,,,0.0
0,,14,,1,85~89,,,0.0
0,,14,,1,90~94,,,0.0
0,,14,,1,95~99,,,0.0
0,,14,,2,20~24,,,0.0
0,,14,,2,25~29,,,0.0
0,,14,,2,30~34,,,0.0
0,,14,,2,35~39,,,0.0
0,,14,,2,40~44,,,0.0
0,14.0,14,2.0,2,45~49,0.36,580.0,11.0
0,14.0,14,2.0,2,50~54,4.73,777.0,8.0
0,14.0,14,2.0,2,55~59,-8.12,300.0,2.0
0,14.0,14,2.0,2,60~64,0.0,300.0,5.0
0,14.0,14,2.0,2,65~69,-2.18,266.67,3.0
0,,14,,2,70~74,,,0.0
0,,14,,2,75~79,,,0.0
0,,14,,2,80~84,,,0.0
0,,14,,2,85~89,,,0.0
0,,14,,2,90~94,,,0.0
0,,14,,2,95~99,,,0.0
0,,15,,1,20~24,,,0.0
0,15.0,15,1.0,1,25~29,,307.5,2.0
0,15.0,15,1.0,1,30~34,62.41,630.0,4.0
0,15.0,15,1.0,1,35~39,15.44,490.0,27.0
0,15.0,15,1.0,1,40~44,8.24,409.0,45.0
0,15.0,15,1.0,1,45~49,5.75,542.0,51.0
0,15.0,15,1.0,1,50~54,0.38,718.0,45.0
0,15.0,15,1.0,1,55~59,-1.06,694.0,28.0
0,15.0,15,1.0,1,60~64,-0.48,437.0,31.0
0,15.0,15,1.0,1,65~69,4.58,537.0,13.0
