,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,15,,2,55~59,,,0.0
0,,15,,2,60~64,,,0.0
0,,15,,2,65~69,,,0.0
0,,15,,2,70~74,,,0.0
0,,15,,2,75~79,,,0.0
0,,15,,2,80~84,,,0.0
0,,15,,2,85~89,,,0.0
0,,15,,2,90~94,,,0.0
0,,15,,2,95~99,,,0.0
0,,21,,1,20~24,,,0.0
0,21.0,21,1.0,1,25~29,0.53,314.9,24.0
0,21.0,21,1.0,1,30~34,5.07,316.5,45.0
0,21.0,21,1.0,1,35~39,9.58,433.2,42.0
0,21.0,21,1.0,1,40~44,5.13,448.1,23.0
0,21.0,21,1.0,1,45~49,5.57,451.0,22.0
0,21.0,21,1.0,1,50~54,4.03,447.4,13.0
0,21.0,21,1.0,1,55~59,3.1,202.0,2.0
0,21.0,21,1.0,1,60~64,16.87,209.5,9.0
0,21.0,21,1.0,1,65~69,4.67,268.75,10.0
0,,21,,1,70~74,,,0.0
0,,21,,1,75~79,,,0.0
0,,21,,1,80~84,,,0.0
0,,21,,1,85~89,,,0.0
0,,21,,1,90~94,,,0.0
0,,21,,1,95~99,,,0.0
0,21.0,21,2.0,2,20~24,,163.0,2.0
0,21.0,21,2.0,2,25~29,-2.24,228.2,31.0
0,21.0,21,2.0,2,30~34,7.27,316.0,24.0
0,21.0,21,2.0,2,35~39,-3.2,344.2,16.0
0,21.0,21,2.0,2,40~44,7.35,337.3,11.0
0,21.0,21,2.0,2,45~49,0.38,494.33,5.0
0,21.0,21,2.0,2,50~54,-5.47,220.7,7.0
0,21.0,21,2.0,2,55~59,-1.36,200.0,2.0
0,21.0,21,2.0,2,60~64,,182.0,1.0
0,,21,,2,65~69,,,0.0
0,,21,,2,70~74,,,0.0
0,,21,,2,75~79,,,0.0
0,,21,,2,80~84,,,0.0
0,,21,,2,85~89,,,0.0
0,,21,,2,90~94,,,0.0
0,,21,,2,95~99,,,0.0
0,22.0,22,1.0,1,20~24,10.06,199.6,20.0
0,22.0,22,1.0,1,25~29,6.66,235.6,205.0
0,22.0,22,1.0,1,30~34,4.85,319.4,373.0
0,22.0,22,1.0,1,35~39,4.11,408.8,471.0
0,22.0,22,1.0,1,40~44,2.84,466.8,411.0
0,22.0,22,1.0,1,45~49,3.81,524.2,235.0
0,22.0,22,1.0,1,50~54,1.87,513.2,114.0
0,22.0,22,1.0,1,55~59,5.59,408.5,31.0
0,22.0,22,1.0,1,60~64,10.39,658.7,6.0
0,,22,,1,65~69,,,0.0
0,,22,,1,70~74,,,0.0
0,,22,,1,75~79,,,0.0
0,,22,,1,80~84,,,0.0
0,,22,,1,85~89,,,0.0
0,,22,,1,90~94,,,0.0
0,,22,,1,95~99,,,0.0
0,22.0,22,2.0,2,20~24,-2.68,191.8,27.0
0,22.0,22,2.0,2,25~29,9.97,256.2,77.0
0,22.0,22,2.0,2,30~34,4.67,305.5,67.0
0,22.0,22,2.0,2,35~39,1.65,326.1,72.0
0,22.0,22,2.0,2,40~44,3.17,394.5,34.0
0,22.0,22,2.0,2,45~49,5.73,431.4,20.0
0,22.0,22,2.0,2,50~54,5.48,485.5,7.0
0,22.0,22,2.0,2,55~59,1.58,379.75,4.0
0,,22,,2,60~64,,,0.0
0,,22,,2,65~69,,,0.0
0,,22,,2,70~74,,,0.0
0,,22,,2,75~79,,,0.0
0,,22,,2,80~84,,,0.0
0,,22,,2,85~89,,,0.0
0,,22,,2,90~94,,,0.0
0,,22,,2,95~99,,,0.0
0,23.0,23,1.0,1,20~24,18.1,208.38,18.0
0,23.0,23,1.0,1,25~29,7.26,251.5,271.0
0,23.0,23,1.0,1,30~34,3.89,342.1,627.0
0,23.0,23,1.0,1,35~39,4.18,412.2,922.0
0,23.0,23,1.0,1,40~44,3.84,465.9,724.0
0,23.0,23,1.0,1,45~49,2.97,545.4,416.0
0,23.0,23,1.0,1,50~54,1.94,489.4,248.0
