,depth2,p_sex2,p_age_range,median_wage
10,91,1,70~74,144.1
11,91,1,75~79,202.88
0,91,2,20~24,0.0
1,91,2,25~29,0.0
2,91,2,30~34,156.0
3,91,2,35~39,258.0
4,91,2,40~44,274.0
5,91,2,45~49,213.0
6,91,2,50~54,156.0
7,91,2,55~59,164.5
8,91,2,60~64,165.4
9,91,2,65~69,142.7
10,91,2,70~74,107.5
0,92,1,20~24,192.12
1,92,1,25~29,215.6
2,92,1,30~34,242.0
3,92,1,35~39,267.4
4,92,1,40~44,279.8
5,92,1,45~49,276.2
6,92,1,50~54,277.2
7,92,1,55~59,260.0
8,92,1,60~64,208.9
9,92,1,65~69,170.0
10,92,1,70~74,149.9
11,92,1,75~79,190.0
12,92,1,80~84,130.75
0,92,2,20~24,181.6
1,92,2,25~29,397.38
2,92,2,30~34,189.0
3,92,2,35~39,156.38
4,92,2,40~44,132.7
5,92,2,45~49,165.3
6,92,2,50~54,182.5
7,92,2,55~59,171.0
8,92,2,60~64,128.0
9,92,2,65~69,272.17
0,93,1,20~24,179.3
1,93,1,25~29,239.0
2,93,1,30~34,242.8
3,93,1,35~39,259.6
4,93,1,40~44,246.5
5,93,1,45~49,238.1
6,93,1,50~54,312.9
7,93,1,55~59,248.2
8,93,1,60~64,163.6
9,93,1,65~69,165.2
10,93,1,70~74,222.0
11,93,1,75~79,40.0
0,93,2,20~24,193.6
1,93,2,25~29,179.5
2,93,2,30~34,174.9
3,93,2,35~39,126.8
4,93,2,40~44,130.6
5,93,2,45~49,143.8
6,93,2,50~54,162.1
7,93,2,55~59,162.8
8,93,2,60~64,142.1
9,93,2,65~69,97.5
10,93,2,70~74,61.6
11,93,2,75~79,68.0
12,93,2,80~84,53.25
0,94,1,20~24,137.0
1,94,1,25~29,203.5
2,94,1,30~34,250.5
3,94,1,35~39,230.1
4,94,1,40~44,241.8
5,94,1,45~49,265.5
6,94,1,50~54,228.4
7,94,1,55~59,176.0
8,94,1,60~64,171.4
9,94,1,65~69,152.8
10,94,1,70~74,141.6
11,94,1,75~79,132.9
12,94,1,80~84,121.6
13,94,1,85~89,97.33
0,94,2,20~24,218.17
1,94,2,25~29,174.0
2,94,2,30~34,172.25
3,94,2,35~39,122.67
4,94,2,40~44,131.5
5,94,2,45~49,150.3
6,94,2,50~54,159.1
7,94,2,55~59,139.3
8,94,2,60~64,134.6
9,94,2,65~69,129.7
10,94,2,70~74,108.6
11,94,2,75~79,73.7
12,94,2,80~84,22.0
0,95,1,20~24,163.62
1,95,1,25~29,192.4
2,95,1,30~34,213.3
3,95,1,35~39,215.2
4,95,1,40~44,262.5
5,95,1,45~49,266.7
6,95,1,50~54,275.5
7,95,1,55~59,222.9
8,95,1,60~64,222.0
9,95,1,65~69,232.2
10,95,1,70~74,167.2
11,95,1,75~79,764.5
12,95,1,80~84,611.8
13,95,1,85~89,400.8
14,95,1,90~94,315.0
0,95,2,20~24,141.12
1,95,2,25~29,177.6
2,95,2,30~34,145.9
3,95,2,35~39,158.9
4,95,2,40~44,139.0
5,95,2,45~49,141.2
6,95,2,50~54,158.7
7,95,2,55~59,162.5
8,95,2,60~64,158.1
9,95,2,65~69,125.8
10,95,2,70~74,108.4
11,95,2,75~79,54.2
12,95,2,80~84,29.67
0,99,1,20~24,101.0
1,99,1,25~29,172.67
2,99,1,30~34,0.0
3,99,1,35~39,211.2
4,99,1,40~44,205.4
5,99,1,45~49,213.5
6,99,1,50~54,182.8
7,99,1,55~59,163.9
8,99,1,60~64,162.8
9,99,1,65~69,134.7
10,99,1,70~74,129.3
11,99,1,75~79,127.12
12,99,1,80~84,57.0
0,99,2,20~24,0.0
1,99,2,25~29,0.0
2,99,2,30~34,0.0
3,99,2,35~39,0.0
4,99,2,40~44,142.9
5,99,2,45~49,143.3
6,99,2,50~54,143.4
7,99,2,55~59,108.0
8,99,2,60~64,109.7
9,99,2,65~69,105.6
10,99,2,70~74,79.3
11,99,2,75~79,97.1
12,99,2,80~84,40.33
