,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,11,,1,20~29,,,0.0
0,,11,,1,30~39,,,0.0
0,11.0,11,1.0,1,40~49,,348.0,1.0
0,11.0,11,1.0,1,50~59,1.89,653.2,11.0
0,11.0,11,1.0,1,60~69,,384.0,1.0
0,,11,,1,70~79,,,0.0
0,,11,,1,80~89,,,0.0
0,,11,,1,90~99,,,0.0
0,,12,,1,20~29,,,0.0
0,12.0,12,1.0,1,30~39,2.64,364.75,4.0
0,12.0,12,1.0,1,40~49,0.5,550.9,17.0
0,12.0,12,1.0,1,50~59,4.06,686.9,44.0
0,12.0,12,1.0,1,60~69,-3.34,371.64,20.0
0,12.0,12,1.0,1,70~79,,110.0,1.0
0,,12,,1,80~89,,,0.0
0,,12,,1,90~99,,,0.0
0,,12,,2,20~29,,,0.0
0,,12,,2,30~39,,,0.0
0,12.0,12,2.0,2,40~49,-3.67,214.0,2.0
0,,12,,2,50~59,,,0.0
0,,12,,2,60~69,,,0.0
0,,12,,2,70~79,,,0.0
0,,12,,2,80~89,,,0.0
0,,12,,2,90~99,,,0.0
0,13.0,13,1.0,1,20~29,,497.0,1.0
0,13.0,13,1.0,1,30~39,-0.7,536.55,21.0
0,13.0,13,1.0,1,40~49,-2.48,563.75,82.0
0,13.0,13,1.0,1,50~59,0.55,622.8,163.0
0,13.0,13,1.0,1,60~69,2.31,421.5,97.0
0,13.0,13,1.0,1,70~79,0.92,278.0,16.0
0,,13,,1,80~89,,,0.0
0,,13,,1,90~99,,,0.0
0,,13,,2,20~29,,,0.0
0,13.0,13,2.0,2,30~39,-9.42,562.58,7.0
0,13.0,13,2.0,2,40~49,1.19,298.4,48.0
0,13.0,13,2.0,2,50~59,2.62,419.1,60.0
0,13.0,13,2.0,2,60~69,3.93,372.33,29.0
0,,13,,2,70~79,,,0.0
0,,13,,2,80~89,,,0.0
0,,13,,2,90~99,,,0.0
0,14.0,14,1.0,1,20~29,-0.67,256.2,7.0
0,14.0,14,1.0,1,30~39,4.39,396.0,39.0
0,14.0,14,1.0,1,40~49,6.22,540.75,183.0
0,14.0,14,1.0,1,50~59,3.22,515.1,184.0
0,14.0,14,1.0,1,60~69,0.26,431.45,108.0
